,Address,Property Type, Price ,Beds,Bath, Square Feet ,Brokerages,Borough,Zipcode,Neighborhood,Neighborhood Safety Rating,Longitude,Latitude,Down Payment,Mortgage Rate,Years,Loan Amount,Loan Payment per month,Property Tax Per Month,Homeowner Insurance, Utility ,Total Payments,Reccomended Occupancy,Maximum Occupancy,Perception
1396,"234-18 131st Ave Unit LowerRosedale, NY 11422",Co-op ,"$295,000.00 ",2,1,950, Joachim Realty Llc,Queens,11422,Southwest Queens,B,-73.7335012,40.6778447,"$59,000.00 ",6.75%,30,"$236,000.00 ","$1,530.69 ",$299.56 ,$61.46 ,"$3,000 ","$4,891.71 ",4,8,
1397,"19 Bascom PlStaten Island, NY 10314",House ,"$1,375,000.00 ",5,4,"2,704", Katz Realty,Staten Island,10314,Mid Island,B,-74.1447092,40.606711,"$275,000.00 ",6.75%,30,"$1,100,000.00 ","$7,134.58 ","$1,396.24 ",$286.46 ,$600 ,"$9,417.28 ",10,11,
1398,"2944 W 5th St Apt 19CBrooklyn, NY 11224",Co-op ,"$399,000.00 ",2,2,"1,050", J. Sikar Realty,Brooklyn,11224,South Brooklyn,C,-73.9737314,40.5776924,"$79,800.00 ",6.75%,30,"$319,200.00 ","$2,070.33 ",$405.16 ,$83.13 ,$600 ,"$3,158.61 ",4,7,
1399,"3240 Riverdale Ave Apt 4BBronx, NY 10463",Co-op ,"$219,999.00 ",2,1,800, Exit Realty Private Client,Bronx,10463,Riverdale,A,-73.907461,40.8833792,"$43,999.80 ",6.75%,30,"$175,999.20 ","$1,141.53 ",$223.40 ,$45.83 ,$600 ,"$2,010.76 ",4,7,
1400,"87-15 165th St Unit 2AJamaica, NY 11432",Co-op ,"$129,000.00 ",3,1,"2,184", Corcoran,Queens,11432,Jamaica,D,-73.7982064,40.7104509,"$25,800.00 ",6.75%,30,"$103,200.00 ",$669.35 ,$130.99 ,$26.88 ,$375 ,"$1,202.22 ",6,18,
1401,"48-17 42nd St Unit 4BQueens, NY 11104",Co-op ,"$329,000.00 ",1,1,"2,184", COMPASS,Queens,11104,Northwest Queens,B,-73.9229803,40.739059,"$65,800.00 ",6.75%,30,"$263,200.00 ","$1,707.11 ",$334.08 ,$68.54 ,$375 ,"$2,484.73 ",2,18,
1402,"2341 Richmond RdStaten Island, NY 10306",House ,"$639,000.00 ",4,2,"1,856", Herman & Co. New York,Staten Island,10306,South Shore,A,-74.1181004,40.5774962,"$127,800.00 ",6.75%,30,"$511,200.00 ","$3,315.63 ",$648.87 ,$133.13 ,$600 ,"$4,697.63 ",8,12,
1403,"114 McArthur AveStaten Island, NY 10312",Contingent,"$750,000.00 ",4,4,"1,240"," Robert Defalco Realty, Inc.",Staten Island,10312,South Shore,A,-74.1780566,40.5546832,"$150,000.00 ",6.75%,30,"$600,000.00 ","$3,891.59 ",$761.59 ,$156.25 ,$600 ,"$5,409.43 ",8,5,
1404,"12 Irving PlStaten Island, NY 10304",House ,"$499,999.00 ",3,2,"1,763", Prominent Properties Sotheby's International Realty,Staten Island,10304,Stapleton,D,-74.0858322,40.6175808,"$99,999.80 ",6.75%,30,"$399,999.20 ","$2,594.39 ",$507.72 ,$104.17 ,$600 ,"$3,806.28 ",6,11,
1405,"110-20 71 Ave Unit 330Forest Hills, NY 11375",Co-op ,"$560,000.00 ",2,2,"2,184", Douglas Elliman ,Queens,11375,West Central Queens,B,-73.84153,40.7223099,"$112,000.00 ",6.75%,30,"$448,000.00 ","$2,905.72 ",$568.65 ,$116.67 ,$205 ,"$3,796.04 ",4,14,
1406,"102-37 68th AveForest Hills, NY 11375",Townhouse ,"$1,268,000.00 ",3,2,"1,513", RE MAX,Queens,11375,West Central Queens,B,-73.8521227,40.7240812,"$253,600.00 ",6.75%,30,"$1,014,400.00 ","$6,579.38 ","$1,287.59 ",$264.17 ,$600 ,"$8,731.14 ",6,9,
1407,"2719 Whitman DrBrooklyn, NY 11234",House ,"$1,899,000.00 ",7,4,"2,800", BROOKLYN`S 4 U REALTY,Brooklyn,11234,Canarsie,B,-73.9106532,40.6049921,"$379,800.00 ",6.75%,30,"$1,519,200.00 ","$9,853.50 ","$1,928.34 ",$395.63 ,$600 ,"$12,777.47 ",14,12,
1409,"69-10 108 St Unit 4CForest Hills, NY 11375",Co-op ,"$888,000.00 ",3,2,"1,600", NY Empire Real Estate,Queens,11375,West Central Queens,B,-73.8458441,40.724514,"$177,600.00 ",6.75%,30,"$710,400.00 ","$4,607.64 ",$901.72 ,$185.00 ,$600 ,"$6,294.36 ",6,10,
1410,"7222 3rd AveBrooklyn, NY 11209",Multi-family home ,"$2,100,000.00 ",20,8,"7,200", Berkshire Hathaway HomeServices Cangiano Estates,Brooklyn,11209,Southwest Brooklyn,B,-74.0274188,40.6330213,"$420,000.00 ",6.75%,30,"$1,680,000.00 ","$10,896.45 ","$2,132.45 ",$437.50 ,$550 ,"$14,016.39 ",40,18,
1412,"146-11 Delaware AveFlushing, NY 11355",House ,"$1,250,000.00 ",4,2.5,"2,184", Prospes Real Estate Corp,Queens,11355,North Queens,B,-73.8180817,40.7562704,"$250,000.00 ",6.75%,30,"$1,000,000.00 ","$6,485.98 ","$1,269.31 ",$260.42 ,"$1,700 ","$9,715.71 ",8,12,
1413,"100-25 Queens Blvd Unit 4BBForest Hills, NY 11375",Condo ,"$1,078,000.00 ",3,2,"2,184", Benjamin Realty Since 1980,Queens,11375,West Central Queens,B,-73.8523359,40.7270139,"$215,600.00 ",6.75%,30,"$862,400.00 ","$5,593.51 ","$1,094.66 ",$224.58 ,$375 ,"$7,287.75 ",6,14,
1414,"70 81st StBrooklyn, NY 11209",House ,"$3,200,000.00 ",4,4,"2,950", Keller Williams Points North,Brooklyn,11209,Southwest Brooklyn,B,-74.0372417,40.6286854,"$640,000.00 ",6.75%,30,"$2,560,000.00 ","$16,604.11 ","$3,249.44 ",$666.67 ,$205 ,"$20,725.22 ",8,12,
1415,"622 W End Ave Apt 4EManhattan, NY 10024",Co-op ,"$555,555.00 ",1,1,"2,184", COMPASS,Manhattan,10024,Upper East Side,A,-73.9756337,40.7914938,"$111,111.00 ",6.75%,30,"$444,444.00 ","$2,882.66 ",$564.14 ,$115.74 ,$375 ,"$3,937.53 ",2,18,
1416,"35-31 85th St Unit 6CJackson Heights, NY 11372",Co-op ,"$293,900.00 ",1,1,"2,184", Keller Williams,Queens,11372,West Queens,C,-73.8814433,40.7512505,"$58,780.00 ",6.75%,30,"$235,120.00 ","$1,524.98 ",$298.44 ,$61.23 ,$600 ,"$2,484.65 ",2,18,
