,Address,Property Type,Price,Beds,Bath,Square Feet,Brokerages,Borough,Zipcode,Neighborhood,Longitude,Latitude
15,"4654 Amboy Rd Unit 2BStaten Island, NY 10312",Condo ,549000.0,2,2.0,1000.0, Awaye Realty,Staten Island,10312.0,South Shore,-74.1671632,40.5406209
16,"28-31 Hobart StWoodside, NY 11377",Townhouse ,975000.0,3,2.0,1734.0, Realty Executives Today,Queens,11377.0,West Queens,-73.9056672,40.7607676
17,"9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",Co-op ,199000.0,3,1.0,325.0, Dorsa Group Realty,Brooklyn,11209.0,Southwest Brooklyn,-74.0369047,40.6181029
18,"5800 Arlington Ave Apt 21ABronx, NY 10471",Co-op ,350000.0,1,1.0,700.0, Coldwell Banker Realty,Bronx,10471.0,Riverdale,-73.9065578,40.9073699
19,"92-29 Queens Blvd Unit 3HRego Park, NY 11374",Condo ,599000.0,2,2.0,974.0, Keller Williams,Queens,11374.0,West Central Queens,-73.8670804,40.7324713
20,"27 Clove WayStaten Island, NY 10301",House ,639999.0,3,2.0,1260.0, Radiant Estates LLC,Staten Island,10301.0,Stapleton,-74.1114362,40.6207403
21,"10724 71st Rd Apt 9FForest Hills, NY 11375",Condo ,1300000.0,2,2.0,1244.0," Apaus, Inc",Queens,11375.0,West Central Queens,-73.8430513,40.7202429
22,"1038 Throggs Neck Expy Unit SrBronx, NY 10465",Multi-family home ,1100000.0,6,3.0,2837.0, Keller Williams,Bronx,10465.0,Southeast Bronx,-73.8221101,40.8343936
23,"165 Cromwell Ave Apt 2BStaten Island, NY 10304",Condo ,349900.0,1,1.0,651.0, Martino Realty Group,Staten Island,10304.0,Stapleton,-74.0958034,40.5902064
24,"280 Loretto StStaten Island, NY 10307",House ,750000.0,2,2.0,1330.0, Elizabeth Marra,Staten Island,10307.0,South Shore,-74.2396555,40.5039785
25,"149-07 85 RdBriarwood, NY 11435",Multi-family home ,1690000.0,6,4.0,2200.0, CENTURY 21,Queens,11435.0,Jamaica,-73.809486,40.710749
26,"35-45 81st St Unit E1Queens, NY 11372",Co-op ,325000.0,1,1.0,2184.207862," Nest Seekers International, Long Island",Queens,11372.0,West Queens,-73.8851355,40.7505078
27,"2361 81st StBrooklyn, NY 11214",Multi-family home ,2250000.0,12,2.5,5670.0, CENTURY 21,Brooklyn,11214.0,Southwest Brooklyn,-73.9869399,40.602654
28,"33-24 Junction Blvd Unit 6RJackson Heights, NY 11372",Co-op ,230000.0,1,1.0,2184.207862, Du Chris Realty,Queens,11372.0,West Queens,-73.8734231,40.7557689
29,"310-312 Hillside AveStaten Island, NY 10304",Multi-family home ,1299888.0,10,6.0,3156.0, Ashford Homes,Staten Island,10304.0,Stapleton,-74.0869554,40.6155667
31,"47 Lynn CtStaten Island, NY 10314",Condo ,329000.0,1,2.0,794.0, Get Listed Get Sold NYC,Staten Island,10314.0,Mid Island,-74.1504313,40.6210398
32,"366 Union Ave Unit 4Staten Island, NY 10303",Multi-family home ,1300000.0,10,8.0,5040.0, RJM Realty Empire Inc.,Staten Island,10303.0,Port Richmond,-74.1581613,40.6274381
33,"544 Hinsdale StBrooklyn, NY 11207",Multi-family home ,848000.0,5,4.0,2080.0, RE MAX,Brooklyn,11207.0,East New York,-73.898309,40.6615475
34,"1801 Ocean Ave Apt 4ABrooklyn, NY 11230",Co-op ,279000.0,1,1.0,750.0, H P Greenfield Real Estate Ltd,Brooklyn,11230.0,Borough Park,-73.9546305,40.6179165
35,"1238 63rd St Unit 432Brooklyn, NY 11219",Condo ,528000.0,1,1.0,602.0, Ashford Homes LLC,Brooklyn,11219.0,Borough Park,-74.0016198,40.6275896
36,"310-312 Hillside AveStaten Island, NY 10304",Multi-family home ,1299888.0,11,4.0,3156.0, Ashford Homes,Staten Island,10304.0,Stapleton,-74.0869554,40.6155667
37,"44-55 Kissena Blvd Unit 5FFlushing, NY 11355",Co-op ,275000.0,1,1.0,2184.207862, E Realty International Corp,Queens,11355.0,North Queens,-73.8211834,40.7528774
38,"338 Berry St Apt 4EBrooklyn, NY 11249",Condo ,1165000.0,1,1.0,815.0, Corcoran,Brooklyn,11249.0,Williamsburg,-73.9649468,40.711969
39,"10 Simon CtStaten Island, NY 10307",Multi-family home ,1199000.0,6,5.0,3290.0, Staten Island Homes Realty Corp,Staten Island,10307.0,South Shore,-74.2361135,40.5159256
40,"229 W Tremont Ave Unit ABronx, NY 10453",Multi-family home ,700000.0,6,2.0,3053.0, Exp Realty,Bronx,10453.0,Central Bronx,-73.9176871,40.852813
41,"2226 63rd StBrooklyn, NY 11204",Multi-family home ,2150000.0,8,4.0,3200.0, CENTURY 21,Brooklyn,11204.0,Borough Park,-73.9795824,40.614446
42,"86-05 91st AveWoodhaven, NY 11421",Multi-family home ,1280000.0,7,5.0,2460.0, E Realty International Corp,Queens,11421.0,Southwest Queens,-73.856322,40.688312
43,"828 Gerard Ave Apt 5FBronx, NY 10451",Co-op ,199900.0,1,1.0,2184.207862, Brown Harris Stevens,Bronx,10451.0,High Bridge,-73.9256625,40.8260352
44,"43-40 Union St Unit 3DFlushing, NY 11355",Co-op ,369000.0,2,1.0,2184.207862, Winzone Realty Inc,Queens,11355.0,North Queens,-73.8209077,40.753455
45,"111-31 141st StJamaica, NY 11435",Multi-family home ,699000.0,4,3.0,1591.0, Prestige Homes Ny Inc,Queens,11435.0,Jamaica,-73.8027331,40.6847504
46,"123 Prince St Unit 1Manhattan, NY 10012",Co-op ,4250000.0,3,2.0,2400.0, Brown Harris Stevens,Manhattan,10012.0,Soho,-73.9999212,40.725464
47,"32-39 Jordan StFlushing, NY 11358",Multi-family home ,825000.0,2,2.0,2184.207862, Weichert Realtors TMT Group,Queens,11358.0,North Queens,-73.789417,40.768457
48,"55 Austin Pl Apt 4LStaten Island, NY 10304",Condo ,329000.0,2,1.0,837.0, American Homes Group,Staten Island,10304.0,Stapleton,-74.0856344,40.6315346
49,"17 S Greenleaf AveStaten Island, NY 10314",Multi-family home ,889000.0,2,2.0,1520.0, Wonica REALTORS & Appraisers,Staten Island,10314.0,Mid Island,-74.1259917,40.6233188
50,"101-55 112th StRichmond Hill South, NY 11419",Multi-family home ,769000.0,2,2.0,2184.207862, First Class Homes Inc,Queens South,11419.0,nan,-73.8309133,40.6868333
51,"66 Bay 22nd StBrooklyn, NY 11214",Multi-family home ,1200000.0,4,2.0,2536.0, Exp Realty,Brooklyn,11214.0,Southwest Brooklyn,-74.0012526,40.6042861
52,"350 Richmond Ter Apt 3MStaten Island, NY 10301",Co-op ,220500.0,2,1.0,900.0, VYLLA HOME,Staten Island,10301.0,Stapleton,-74.0847983,40.6481488
53,"259 80th StBrooklyn, NY 11209",Multi-family home ,1999000.0,3,3.0,2739.0, RE MAX,Brooklyn,11209.0,Southwest Brooklyn,-74.0297598,40.6281691
54,"240 Centre St Unit 2MNew York, NY 10013",Co-op ,3250000.0,2,2.0,1300.0, Douglas Elliman  ,Manhattan,10013.0,Soho,-73.9980266,40.7199716
55,"473 Hicks St Apt 4Brooklyn, NY 11231",Condo ,1650000.0,2,2.0,1267.0, Douglas Elliman  ,Brooklyn,11231.0,Northwest Brooklyn,-73.9997131,40.6866098
